system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861762+203981,1445.0,24.0,1401.0,1004.0,1209.0,1083.0,1099.0,1096.0,1287.0,1473.0,1239.0,1547.0,282.0,18.323969912762617,77.41344250310492,0.05988023802638054,-0.06136363744735718,0.0,0.0,0.0,
0_+861762+203982,1379.0,16.5,1300.5,1015.0,1162.5,1036.0,1087.5,1058.0,1183.0,1284.0,1237.5,1422.0,352.0,18.32405974429103,77.41344250310492,0.06436232477426529,-0.024984240531921387,0.0,0.0,0.0,
0_+861762+203983,1379.0,16.5,1300.5,1015.0,1149.5,1015.5,1075.0,1058.0,1183.0,1284.0,1197.5,1422.0,352.0,18.32414957581944,77.41344250310492,0.05384107679128647,-0.0412859171628952,0.0,0.0,0.0,
0_+861762+203984,1379.0,16.5,1258.0,1002.5,1140.5,1011.0,1041.5,1024.5,1110.0,1208.5,1146.0,1319.0,352.0,18.324239407347854,77.41344250310492,0.04771004244685173,-0.04670299217104912,0.0,0.0,0.0,
0_+861762+203985,1379.0,16.5,1258.0,1002.5,1134.5,1001.0,1035.0,1024.5,1110.0,1208.5,1150.5,1319.0,352.0,18.324329238876263,77.41344250310492,0.05291840061545372,-0.04463988542556763,0.0,0.0,0.0,
0_+861762+203986,1379.0,17.0,1265.5,1011.0,1136.0,1012.5,1036.0,1046.0,1123.5,1232.0,1153.5,1316.0,322.0,18.324419070404677,77.41344250310492,0.05374649167060852,-0.04633680358529091,0.0,0.0,0.0,
0_+861762+203987,1379.0,17.0,1265.5,1011.0,1154.5,1018.0,1048.5,1046.0,1123.5,1232.0,1163.0,1316.0,322.0,18.32450890193309,77.41344250310492,0.05192970484495163,-0.042206235229969025,0.0,0.0,0.0,
0_+861762+203988,1379.0,17.0,1318.5,1033.0,1157.5,1028.0,1070.5,1058.0,1151.5,1259.0,1190.0,1345.0,322.0,18.3245987334615,77.41344250310492,0.052876029163599014,-0.05115485191345215,0.0,0.0,0.0,
0_+861762+203989,1379.0,17.0,1318.5,1033.0,1171.0,1026.5,1055.0,1058.0,1151.5,1259.0,1198.0,1345.0,322.0,18.324688564989913,77.41344250310492,0.06331042945384979,-0.047927822917699814,0.0,0.0,0.0,
0_+861762+203990,1379.0,17.0,1499.5,1131.5,1161.0,1023.5,1068.5,1121.0,1238.0,1404.0,1230.0,1515.5,322.0,18.324778396518326,77.41344250310492,0.07041450589895248,-0.09802640974521637,0.0,0.0,0.0,
0_+861763+203981,1445.0,24.0,1401.0,1004.0,1200.0,1047.0,1048.0,1096.0,1287.0,1473.0,1237.0,1547.0,282.0,18.323969912762617,77.41353233463333,0.08271335065364838,-0.06216830760240555,0.0,0.0,0.0,
0_+861763+203982,1379.0,16.5,1300.5,1015.0,1147.0,1020.5,1037.0,1058.0,1183.0,1284.0,1200.5,1422.0,352.0,18.32405974429103,77.41353233463333,0.0732276439666748,-0.04004373401403427,0.0,0.0,0.0,
0_+861763+203983,1379.0,16.5,1300.5,1015.0,1150.5,1011.5,1051.0,1058.0,1183.0,1284.0,1173.0,1422.0,352.0,18.32414957581944,77.41353233463333,0.05483675003051758,-0.051638174802064896,0.0,0.0,0.0,
0_+861763+203984,1379.0,16.5,1258.0,1002.5,1147.0,1011.0,1038.0,1024.5,1110.0,1208.5,1154.5,1319.0,352.0,18.324239407347854,77.41353233463333,0.0532027967274189,-0.04293202608823776,0.0,0.0,0.0,
0_+861763+203985,1379.0,16.5,1258.0,1002.5,1146.5,1011.0,1031.5,1024.5,1110.0,1208.5,1141.0,1319.0,352.0,18.324329238876263,77.41353233463333,0.05047605559229851,-0.048778217285871506,0.0,0.0,0.0,
